,1. open,2. high,3. low,4. close,5. volume,date,delta,ticker
309,2.8300,4.3000,2.5800,3.9100,16471113,2020-10-22,-1,KBSF
310,2.9500,2.9900,2.5800,2.8200,326911,2020-10-26,15,KBSF
311,2.9200,3.6000,2.8100,3.0300,3268417,2020-10-26,0,BSGM
312,5.0300,5.2436,4.9500,5.0200,142329,2020-10-23,-1,BSGM
313,2.9660,3.1000,2.7900,3.0300,763368,2020-10-27,15,BSGM
314,1.8000,1.8800,1.5200,1.5600,20519068,2020-10-27,0,CATB
315,5.6600,5.8400,5.2800,5.3600,2029211,2020-10-26,-1,CATB
316,1.4100,1.5200,1.3600,1.4300,5792489,2020-10-28,15,CATB
317,1.1000,1.1400,1.0200,1.0600,2866164,2020-10-28,0,NVCN
318,2.0800,2.0800,1.7500,1.8300,1551597,2020-10-27,-1,NVCN
319,1.1100,1.1200,1.0000,1.0600,960216,2020-10-29,15,NVCN
320,16.0000,21.5000,16.0000,21.5000,2738,2020-10-28,0,RZLT
321,16.7500,22.5000,16.7500,22.5000,3553,2020-10-27,-1,RZLT
322,21.6400,22.5000,21.6000,22.5000,4917,2020-10-29,15,RZLT
323,2.1500,2.3500,2.1100,2.2800,964479,2020-10-29,0,CGIX
324,3.6500,3.6600,3.3600,3.4000,62466,2020-10-28,-1,CGIX
325,2.3500,2.3500,2.1076,2.2500,157105,2020-10-30,15,CGIX
326,4.3965,4.5520,3.7400,4.3700,17458215,2020-10-29,0,TCDA
327,7.7300,8.5000,7.5700,8.2700,410694,2020-10-28,-1,TCDA
328,4.1000,5.9500,4.1000,5.6300,10459278,2020-10-30,15,TCDA
329,3.8700,3.8700,3.2100,3.7100,1093856,2020-10-30,0,BLCM
330,6.3000,6.6500,5.8000,5.9000,140336,2020-10-29,-1,BLCM
331,3.5900,3.6500,3.2500,3.2800,215136,2020-11-02,15,BLCM
332,2.6000,2.6000,2.0200,2.1300,7458880,2020-10-30,0,SIOX
333,3.5500,3.7700,3.5300,3.6500,3324659,2020-10-29,-1,SIOX
334,2.1400,2.1600,1.8600,1.9200,3874009,2020-11-02,15,SIOX
335,3.1200,3.4500,3.0101,3.3400,4539756,2020-11-02,0,LQDA
336,4.5200,4.6300,4.2850,4.6200,629293,2020-10-30,-1,LQDA
337,3.2200,3.3700,3.1400,3.1600,803187,2020-11-03,15,LQDA
338,2.2500,2.3500,1.7900,1.8000,2716434,2020-11-02,0,MICT
339,2.6200,3.3600,2.6200,3.1200,1694225,2020-10-30,-1,MICT
340,1.7500,1.7900,1.6100,1.7300,628620,2020-11-03,15,MICT
341,0.8200,0.8500,0.7601,0.7633,3917402,2020-11-03,0,ATIF
342,1.3200,1.3500,1.2700,1.3100,360743,2020-11-02,-1,ATIF
343,0.7850,0.7850,0.6900,0.7000,1722569,2020-11-04,15,ATIF
344,6.3000,6.3500,4.7800,4.8700,21448881,2020-11-06,0,ASMB
345,16.2600,16.4000,15.6600,15.9000,193199,2020-11-05,-1,ASMB
346,5.0900,5.6800,5.0400,5.5700,7412366,2020-11-09,15,ASMB
347,40.2300,41.2000,37.5000,38.2100,14414806,2020-11-06,0,GBT
348,62.4100,62.7300,59.7000,60.3200,1620307,2020-11-05,-1,GBT
