,close,high,init date,low,open,ticker,time,volume
221,13.548,13.93,2020-12-21,13.42,13.7499,ONVO,2020-12-21 16:00:00,97101.0
222,13.75,13.75,2020-12-21,13.27,13.34,ONVO,2020-12-21 15:30:00,40285.0
223,13.34,13.9899,2020-12-21,13.3,13.7018,ONVO,2020-12-21 15:00:00,70742.0
224,13.5418,13.8,2020-12-21,13.289000000000001,13.45,ONVO,2020-12-21 14:30:00,37949.0
225,13.45,13.45,2020-12-21,13.0653,13.35,ONVO,2020-12-21 14:00:00,31563.0
226,13.47,13.6098,2020-12-21,13.23,13.6,ONVO,2020-12-21 13:30:00,46821.0
227,13.51,14.0,2020-12-21,13.0212,13.66,ONVO,2020-12-21 13:00:00,125991.0
228,13.68,14.2758,2020-12-21,12.72,13.14,ONVO,2020-12-21 12:30:00,182204.0
229,13.07,13.07,2020-12-21,12.0001,12.15,ONVO,2020-12-21 12:00:00,57589.0
230,12.1499,12.21,2020-12-21,11.27,11.83,ONVO,2020-12-21 11:30:00,72838.0
231,11.83,13.0,2020-12-21,10.8,10.9024,ONVO,2020-12-21 11:00:00,260300.0
232,10.89,10.99,2020-12-21,10.33,10.57,ONVO,2020-12-21 10:30:00,77458.0
233,10.51,10.6685,2020-12-21,9.75,9.78,ONVO,2020-12-21 10:00:00,95330.0
234,9.98,9.98,2020-12-21,9.98,9.98,ONVO,2020-12-21 09:30:00,120.0
235,9.58,9.58,2020-12-21,9.56,9.56,ONVO,2020-12-21 09:00:00,493.0
236,9.57,9.57,2020-12-21,9.5001,9.5001,ONVO,2020-12-21 08:30:00,3345.0
237,9.5,9.51,2020-12-21,9.47,9.47,ONVO,2020-12-21 08:00:00,953.0
238,10.0,10.0,2020-12-21,10.0,10.0,ONVO,2020-12-21 07:30:00,250.0
239,17.09,17.18,2020-12-22,17.09,17.11,ONVO,2020-12-22 20:00:00,3932.0
240,17.9,17.9,2020-12-22,17.69,17.69,ONVO,2020-12-22 19:00:00,835.0
