,1. open,2. high,3. low,4. close,5. volume,date,delta,init date,ticker
120,137.7500,145.1500,136.3500,141.0000,1308002,2020-08-19,0,2020-08-19,GLPG
121,190.0100,190.3200,186.6800,188.0800,102921,2020-08-18,-1,2020-08-19,GLPG
122,134.1900,134.7500,132.9300,134.1900,86420,2020-08-26,5,2020-08-19,GLPG
123,1.3200,1.4300,1.1800,1.2600,3030741,2020-08-20,0,2020-08-20,SYPR
124,0.9787,1.9500,0.9787,1.8500,11870908,2020-08-19,-1,2020-08-20,SYPR
125,1.1900,1.2400,1.1700,1.2200,154567,2020-08-27,5,2020-08-20,SYPR
126,1.0100,3.8400,1.0100,3.1500,1164316,2020-08-24,0,2020-08-24,FTSI
127,5.1800,5.4200,4.8500,4.9600,99751,2020-08-21,-1,2020-08-24,FTSI
128,3.9600,4.9700,3.9600,4.8000,257253,2020-08-31,5,2020-08-24,FTSI
129,0.6600,1.0000,0.6400,0.8960,60582612,2020-08-24,0,2020-08-24,NAK
130,1.5200,1.5460,1.4450,1.4500,8261039,2020-08-21,-1,2020-08-24,NAK
131,0.9600,1.0900,0.9200,1.0500,30538553,2020-08-31,5,2020-08-24,NAK
132,24.5100,24.9400,18.0800,18.3300,3378618,2020-08-24,0,2020-08-24,ODT
133,34.5600,34.6200,33.0300,33.5400,226927,2020-08-21,-1,2020-08-24,ODT
134,17.9000,17.9999,15.5900,16.1500,983195,2020-08-31,5,2020-08-24,ODT
135,0.2752,0.3980,0.2600,0.3429,177712519,2020-08-24,0,2020-08-24,ONTX
136,1.0200,1.0300,0.9800,1.0100,4019999,2020-08-21,-1,2020-08-24,ONTX
137,0.2739,0.2760,0.2350,0.2407,33119766,2020-08-31,5,2020-08-24,ONTX
138,0.2000,0.2210,0.1900,0.1998,38395416,2020-08-25,0,2020-08-25,MYT
139,0.3000,0.3000,0.2704,0.2829,5203861,2020-08-24,-1,2020-08-25,MYT
140,1.7900,1.7900,1.6200,1.6700,955932,2020-09-01,5,2020-08-25,MYT
141,1.0200,1.0300,0.9500,0.9700,6342953,2020-08-26,0,2020-08-26,CWBR
142,1.4500,1.4950,1.4000,1.4400,227198,2020-08-25,-1,2020-08-26,CWBR
143,1.0100,1.1200,0.9900,1.1200,3771140,2020-09-02,5,2020-08-26,CWBR
144,0.8321,0.9200,0.7813,0.8150,23885032,2020-08-26,0,2020-08-26,OTLK
145,1.2800,1.3000,1.2200,1.2800,1251664,2020-08-25,-1,2020-08-26,OTLK
146,0.5950,0.6600,0.5829,0.6508,2762892,2020-09-02,5,2020-08-26,OTLK
147,0.5500,0.6800,0.5400,0.6500,741228,2020-08-27,0,2020-08-27,KXIN
148,0.8900,0.9100,0.8800,0.8968,207215,2020-08-26,-1,2020-08-27,KXIN
149,0.5200,0.5480,0.4762,0.5199,85163,2020-09-03,5,2020-08-27,KXIN
150,1.3300,1.4900,1.1600,1.3300,6285603,2020-10-15,0,2020-10-15,KXIN
151,0.5356,2.1900,0.5355,1.9800,59818740,2020-10-14,-1,2020-10-15,KXIN
152,4.4000,5.1400,4.1500,4.7400,4723100,2020-10-22,5,2020-10-15,KXIN
153,6.0000,6.9800,4.3000,4.7500,17911722,2020-10-20,0,2020-10-20,KXIN
154,3.3000,13.4000,2.7500,8.1500,234566217,2020-10-19,-1,2020-10-20,KXIN
155,4.4600,5.5100,4.4500,4.7300,4364436,2020-10-27,5,2020-10-20,KXIN
156,19.0500,24.4280,14.8200,19.0000,3572958,2020-08-27,0,2020-08-27,MAXN
157,32.4000,37.6200,32.4000,37.6200,3540,2020-08-26,-1,2020-08-27,MAXN
158,21.7900,21.7900,19.9000,20.7600,717246,2020-09-03,5,2020-08-27,MAXN
159,1.3000,1.5200,1.1600,1.5200,7196676,2020-08-28,0,2020-08-28,PED
160,1.5000,2.5000,1.4500,2.1100,100142960,2020-08-27,-1,2020-08-28,PED
161,1.0300,1.0800,1.0000,1.0600,193006,2020-09-04,5,2020-08-28,PED
162,0.2776,0.2826,0.2306,0.2447,55595782,2020-08-31,0,2020-08-31,ACST
163,0.7150,0.7262,0.6450,0.7090,2684973,2020-08-28,-1,2020-08-31,ACST
164,0.2040,0.2100,0.1950,0.1999,4732464,2020-09-09,5,2020-08-31,ACST
165,8.0000,15.0000,8.0000,9.7700,151700,2020-08-31,0,2020-08-31,GB
166,7.2900,7.3200,6.7400,7.0900,246264,2020-09-08,5,2020-08-31,GB
167,2.9400,3.0000,2.6300,2.6500,81420239,2020-09-03,0,2020-09-03,AKBA
168,10.0100,10.0900,9.5800,10.0000,1991498,2020-09-02,-1,2020-09-03,AKBA
169,2.6500,2.6700,2.4900,2.5300,5351710,2020-09-11,5,2020-09-03,AKBA
170,11.4900,12.3300,10.8100,11.2200,12030571,2020-09-03,0,2020-09-03,ZUO
171,16.8800,17.7900,15.2500,16.1700,8896952,2020-09-02,-1,2020-09-03,ZUO
172,9.7000,9.9198,9.5550,9.8400,1610350,2020-09-11,5,2020-09-03,ZUO
173,2.2300,2.4500,1.9500,2.2300,47192203,2020-09-08,0,2020-09-08,CRBP
174,9.3600,9.6000,8.9200,9.2500,1911613,2020-09-04,-1,2020-09-08,CRBP
175,1.9700,2.0800,1.9200,1.9700,4687845,2020-09-15,5,2020-09-08,CRBP
176,1.1100,1.2800,1.0400,1.2100,25532143,2020-10-06,0,2020-10-06,CRBP
177,1.7700,1.8900,1.7600,1.8900,2710049,2020-10-05,-1,2020-10-06,CRBP
178,1.1300,1.1400,1.1000,1.1200,2104931,2020-10-13,5,2020-10-06,CRBP
179,4.8095,9.3900,4.5500,5.6200,112501911,2020-09-10,0,2020-09-10,STSA
180,22.9000,24.5000,22.9000,23.3400,128610,2020-09-09,-1,2020-09-10,STSA
181,4.6000,4.8900,4.6000,4.7800,1320926,2020-09-17,5,2020-09-10,STSA
182,3.6000,3.7701,3.1000,3.1100,341018,2020-09-11,0,2020-09-11,CRTD
183,7.7500,8.0000,7.2000,7.5000,2990,2020-09-10,-1,2020-09-11,CRTD
