"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
185,"SONN",-11.32%,-5.24%,-9.27%,-39.12%,-84.14%,-84.68%,6.49%,7.60%,2.00,706.29,0.58,2.31,-1.70%,411045
186,"SPCB",4.72%,38.77%,35.73%,-30.62%,66.42%,79.06%,7.21%,10.63%,3.00,1429.42,0.38,1.08,-3.15%,548726
187,"SPRT",1.92%,8.72%,15.85%,32.50%,114.73%,94.50%,3.51%,4.30%,2.00,119.34,0.46,2.12,0.00%,54821
188,"SRAX",4.03%,-11.64%,-7.53%,13.61%,81.69%,3.61%,5.47%,6.20%,2.00,76.60,3.01,2.76,6.98%,230650
189,"STCN",-15.27%,9.36%,39.19%,21.17%,-58.99%,-47.19%,12.00%,11.39%,,156.31,0.43,0.81,4.80%,67574
190,"STKS",4.23%,-1.54%,62.21%,68.42%,-3.03%,-12.09%,7.11%,6.71%,2.30,91.71,0.66,3.15,-1.56%,60744
191,"STRM",-1.21%,5.84%,5.84%,33.61%,30.40%,17.27%,3.73%,6.14%,2.00,70.25,0.53,1.63,0.00%,36975
192,"SVRA",18.26%,17.24%,14.29%,-50.55%,-14.47%,-69.64%,10.79%,9.84%,2.00,249.75,1.67,1.37,0.74%,416391
193,"SXTC",-4.75%,6.79%,21.36%,-43.39%,-58.22%,-64.32%,4.35%,8.98%,,2623.62,1.04,0.29,-1.47%,2715752
194,"SYBX",-14.57%,4.33%,5.34%,-2.25%,-2.25%,-15.89%,6.22%,11.74%,1.60,1097.88,0.44,2.30,5.99%,478294
195,"SYN",-4.88%,-4.20%,-30.72%,-39.94%,-35.07%,-33.85%,8.37%,6.65%,2.50,576.47,2.50,0.35,5.28%,1443920
196,"SYNC",-3.29%,4.26%,0.00%,27.83%,-2.00%,-3.29%,4.50%,5.85%,2.30,84.69,0.77,1.49,1.36%,65226
197,"SYPR",0.00%,-4.90%,36.00%,77.71%,70.00%,74.34%,5.40%,7.31%,3.00,859.88,0.15,1.39,2.21%,125531
198,"TAT",-1.48%,17.25%,-0.20%,-20.65%,-44.10%,-49.62%,5.83%,9.95%,3.00,2440.75,0.41,0.25,0.00%,0
199,"TENX",-5.50%,0.98%,-46.07%,-0.96%,-11.97%,-26.95%,4.94%,8.90%,,193.30,0.70,1.09,5.83%,135307
200,"TGA",-10.26%,79.33%,108.55%,43.37%,-42.61%,-39.70%,8.59%,14.38%,2.50,789.02,0.33,0.88,5.76%,264233
201,"TGC",12.11%,16.82%,54.32%,101.61%,149.50%,155.05%,10.53%,12.86%,,1399.45,0.18,1.14,-8.80%,250210
202,"TOMZ",1.24%,-8.09%,-28.99%,-57.40%,461.81%,353.24%,7.81%,9.41%,,184.26,0.81,4.00,-2.20%,149268
203,"TOPS",-7.03%,6.25%,6.25%,-71.33%,-94.68%,-94.05%,5.02%,10.86%,3.00,3034.66,0.68,1.18,-0.84%,2058607
204,"TURN",1.37%,-0.19%,0.32%,6.36%,-9.68%,-9.47%,4.64%,4.12%,,52.88,5.09,1.93,-0.84%,268947
205,"UONEK",-7.09%,6.31%,38.82%,-58.89%,-39.49%,-37.89%,6.02%,7.79%,,1864.30,0.12,1.19,0.85%,223426
206,"USIO",11.98%,36.94%,-5.29%,2.87%,11.98%,37.82%,9.19%,8.58%,1.80,264.29,4.38,2.79,29.77%,1158604
207,"USWS",-4.33%,23.57%,68.82%,-16.20%,-64.95%,-75.70%,9.21%,11.35%,3.00,1948.27,0.70,0.42,-8.54%,1365001
208,"UTSI",-8.33%,38.95%,21.10%,-23.26%,-55.25%,-55.25%,9.35%,13.03%,,800.16,0.23,1.43,8.33%,185499
209,"VBLT",10.86%,63.03%,60.33%,52.76%,68.70%,61.67%,10.57%,9.17%,1.80,226.93,2.02,1.90,-2.06%,458658
210,"VCNX",7.58%,8.67%,-8.19%,-38.97%,-60.19%,-56.08%,5.66%,6.87%,2.00,1131.92,0.66,2.18,2.35%,751177
211,"VERO",18.14%,12.39%,12.89%,-39.67%,-45.61%,-45.96%,5.72%,6.98%,1.60,127.16,31.21,1.89,-25.59%,3968319
212,"VOC",8.30%,31.82%,85.11%,6.84%,-43.26%,-43.63%,9.42%,6.53%,,251.02,0.29,2.47,-5.52%,73771
213,"VOLT",-2.74%,12.03%,35.11%,28.26%,-22.37%,-28.63%,5.87%,9.17%,,142.81,0.51,1.73,-2.26%,72711
214,"VTNR",-2.55%,28.14%,40.93%,-10.50%,-54.30%,-57.56%,8.70%,12.30%,1.70,579.14,0.74,0.67,1.94%,427981
215,"WTER",-2.73%,-1.83%,-17.69%,-33.95%,-15.75%,-15.75%,4.43%,6.31%,2.30,1705.01,0.63,1.05,-1.87%,1066476
216,"WTT",-21.78%,-2.47%,17.04%,46.30%,17.04%,10.49%,7.56%,8.22%,2.00,59.72,1.38,1.62,2.53%,82311
217,"XPL",15.15%,35.80%,24.54%,82.81%,85.65%,91.77%,8.49%,8.69%,,1153.56,0.29,0.57,-1.53%,339851
218,"ZCMD",5.29%,1.70%,1.13%,-21.83%,,-55.25%,12.79%,6.76%,,320.10,0.68,1.76,-1.68%,216337
219,"ZSAN",-9.15%,20.12%,-66.37%,-31.33%,-57.35%,-61.28%,6.94%,9.32%,1.70,5246.36,0.32,0.58,-0.66%,1680112
