No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Beta,ATR,Volatility W,Volatility M,SMA20,SMA50,SMA200,50D High,50D Low,52W High,52W Low,RSI,from Open,Gap,Recom,Avg Volume,Rel Volume,Price,Change,Volume,Earnings,Target Price,IPO Date,AH Close,AH Change
144,OGEN,"Oragenics, Inc.",Healthcare,Biotechnology,USA,29.90M,-,-,-,-,11.17,2.99,-,-,-,-0.50,57.60%,56.50%,18.70%,-,-,9.40%,-,59.67M,56.76M,7.40%,-49.74%,17.70%,10.43%,2.59%,0.29,-178.80%,-499.10%,-,9.60,9.60,0.00,0.20,-,-,-,3.47%,12.03%,-32.27%,-11.54%,-15.42%,-14.53%,0.62,0.04,6.36%,9.09%,24.67%,13.84%,-14.76%,-16.04%,44.73%,-73.89%,51.57%,65.04,-8.29%,33.11%,2.00,5.09M,11.56,0.55,22.07%,"58,244,106",-,-,10/21/2003,-,-
145,OPGN,"OpGen, Inc.",Healthcare,Diagnostics & Research,USA,38.64M,-,-,-,10.44,1.91,3.68,-,-,-,-2.02,82.70%,29.00%,51.70%,-,-3.20%,89.80%,83.30%,19.12M,18.14M,0.09%,-20.58%,4.40%,10.99%,10.20%,2.40,-71.40%,-159.60%,-208.00%,1.70,1.40,1.06,1.15,11.80%,-,-,-4.49%,-12.37%,-16.26%,-14.57%,22.04%,50.44%,-0.47,0.09,3.86%,5.24%,-7.05%,-14.93%,-20.05%,-30.98%,5.39%,-69.44%,72.55%,36.26,4.14%,-0.59%,2.00,771.95K,1.41,1.76,3.53%,"1,080,946",Nov 11/a,-,5/5/2015,-,-
146,ORMP,Oramed Pharmaceuticals Inc.,Healthcare,Biotechnology,USA,100.80M,-,-,-,37.33,3.22,2.53,-,-,-,-0.58,31.80%,-11.80%,3.50%,-,-,3.00%,0.00%,23.64M,20.38M,13.91%,0.00%,14.50%,17.04%,1.37%,0.53,-30.30%,-45.90%,-35.70%,8.90,8.90,0.00,0.00,-,-,-,6.18%,68.05%,61.37%,20.16%,-15.98%,-13.20%,1.98,0.39,6.38%,12.67%,12.67%,44.16%,40.18%,-17.06%,92.83%,-21.29%,92.83%,66.90,-0.04%,3.58%,1.70,523.52K,1.34,4.63,3.53%,"692,472",-,-,3/19/2004,-,-
147,OSS,"One Stop Systems, Inc.",Technology,Computer Hardware,USA,51.91M,59.80,40.96,-,0.92,1.74,9.44,-,-,0.00%,0.05,34.20%,217.39%,-,-,-,51.60%,-12.80%,16.59M,11.60M,9.50%,-14.08%,29.50%,7.86%,0.59%,0.57,2.10%,3.00%,-3.30%,2.50,1.50,0.08,0.19,32.20%,1.60%,1.50%,1.36%,27.78%,37.16%,48.76%,63.39%,48.02%,-,0.18,5.07%,6.10%,14.63%,27.57%,54.14%,0.30%,52.11%,0.30%,444.00%,73.64,5.23%,2.01%,2.00,118.46K,1.73,3.21,7.34%,"202,833",Nov 12/a,4.33,2/1/2018,-,-
148,PDSB,PDS Biotechnology Corporation,Healthcare,Biotechnology,USA,51.76M,-,-,-,-,1.39,1.54,-,-,-,-1.57,94.50%,1.10%,32.40%,-,-,81.20%,-,18.96M,16.11M,27.64%,0.00%,14.80%,90.07%,2.67%,0.92,-64.50%,-75.30%,-,11.70,11.70,0.00,0.00,-,-,-,7.04%,15.15%,-4.20%,68.89%,3.17%,-13.96%,2.71,0.16,7.06%,7.86%,10.05%,10.62%,23.60%,-12.22%,28.14%,-51.88%,289.45%,58.27,4.64%,0.44%,1.80,465.43K,1.24,2.40,5.10%,"570,609",-,-,10/1/2015,-,-
149,PFIE,"Profire Energy, Inc.",Energy,Oil & Gas Equipment & Services,USA,40.86M,-,-,-,1.71,0.90,3.82,-,-,-,-0.08,-66.00%,33.30%,-17.70%,21.00%,-5.30%,-216.00%,-59.60%,47.93M,32.13M,33.02%,-2.61%,47.40%,4.78%,0.02%,0.06,-7.70%,-8.30%,3.50%,11.80,7.60,0.00,0.00,42.50%,-17.60%,-15.80%,-5.60%,2.50%,24.47%,-4.53%,-41.65%,-42.06%,1.52,0.06,7.83%,6.58%,-2.33%,9.36%,9.31%,-11.85%,36.36%,-42.96%,39.68%,52.42,2.02%,1.81%,2.70,108.96K,0.39,0.87,3.87%,"41,797",Nov 10/b,-,5/11/2007,-,-
150,PFMT,Performant Financial Corporation,Industrials,Specialty Business Services,USA,53.23M,-,-,-,0.33,1.43,3.39,4.33,-,-,-0.40,-226.00%,-,-36.00%,20.00%,-5.10%,124.00%,0.80%,54.68M,34.15M,31.28%,0.00%,60.20%,-0.71%,0.18%,0.10,-17.10%,-51.30%,-16.70%,0.70,0.70,0.00,1.60,-,-12.50%,-13.50%,29.74%,12.49%,58.64%,50.74%,16.46%,-2.95%,-0.82,0.08,10.46%,8.43%,28.41%,2.04%,26.75%,-53.96%,71.18%,-53.96%,85.00%,67.18,-0.10%,1.02%,3.00,614.99K,0.69,1.00,0.92%,"419,819",-,-,8/10/2012,-,-
151,PHX,PHX Minerals Inc.,Energy,Oil & Gas E&P,USA,43.89M,-,-,-,1.82,0.65,4.10,4.88,1.85%,-,-1.45,42.10%,0.00%,-35.30%,-,-15.70%,97.10%,-40.90%,18.92M,17.85M,18.60%,7.49%,44.00%,8.15%,0.53%,0.47,-22.90%,-36.80%,-30.00%,4.00,4.00,0.43,0.46,75.60%,-,-99.50%,5.88%,28.57%,29.34%,-19.70%,-80.35%,-80.73%,1.18,0.22,11.82%,10.94%,11.24%,28.28%,-13.67%,-12.46%,70.08%,-79.75%,70.08%,58.46,4.52%,2.31%,1.00,202.42K,0.74,2.31,6.94%,"148,697",Dec 10/a,3.50,2/3/1992,-,-
152,PLIN,"China Xiangtai Food Co., Ltd.",Consumer Defensive,Packaged Foods,China,22.07M,-,-,-,0.20,0.83,12.98,-,-,-,-0.14,-157.30%,-,-,-,-,-168.30%,-41.30%,22.77M,15.49M,46.57%,0.00%,0.60%,-,0.86%,0.05,-8.90%,-21.60%,0.80%,1.50,-,0.12,0.54,6.50%,0.40%,-4.40%,8.18%,16.24%,26.31%,-43.39%,-78.79%,-77.65%,-,0.09,15.05%,11.09%,6.33%,5.82%,-27.72%,-40.01%,31.72%,-81.01%,45.15%,55.10,4.64%,-1.35%,-,2.54M,0.41,0.90,3.22%,"1,043,190",-,-,8/14/2019,-,-
153,POAI,Predictive Oncology Inc.,Healthcare,Medical Instruments & Supplies,USA,11.68M,-,-,-,8.99,0.81,4.67,-,-,-,-5.41,12.90%,-,58.70%,-,8.20%,65.20%,0.00%,17.68M,16.16M,9.30%,0.39%,2.20%,-64.64%,1.95%,0.29,-114.60%,-252.30%,-145.20%,0.30,0.30,0.00,0.48,62.90%,-,-,-5.85%,-3.64%,-33.09%,-63.33%,-77.24%,-74.71%,1.66,0.05,4.93%,8.00%,6.35%,5.14%,-38.30%,-14.51%,20.62%,-85.66%,20.62%,57.33,13.60%,1.33%,-,1.10M,10.26,0.76,15.12%,"11,191,613",-,-,4/9/2010,-,-
154,PRPO,"Precipio, Inc.",Healthcare,Diagnostics & Research,USA,35.85M,-,-,-,7.47,2.38,16.30,-,-,-,-1.69,83.20%,-,68.20%,20.00%,20.30%,32.70%,100.00%,17.23M,17.02M,0.20%,25.91%,3.20%,297.84%,9.49%,2.22,-81.20%,-124.70%,-91.20%,0.90,0.80,0.04,0.09,13.50%,-,-,-7.87%,-3.76%,-7.66%,35.76%,1.99%,0.00%,2.95,0.17,6.12%,8.47%,-7.07%,-4.54%,23.21%,-26.92%,9.43%,-73.87%,280.04%,42.25,1.96%,0.00%,2.00,728.69K,0.56,2.09,1.96%,"402,046",Nov 19/a,-,7/18/2000,-,-
155,PT,Pintec Technology Holdings Limited,Financial,Credit Services,China,45.64M,-,-,-,0.23,1.59,1.54,-,-,-,-3.27,-,-,-,-,-,-,106.20%,42.45M,33.06M,10.42%,0.00%,0.30%,18.73%,1.11%,1.54,-40.50%,-98.90%,-93.80%,1.10,1.10,0.53,4.24,40.10%,-72.20%,-70.50%,11.62%,22.73%,24.15%,-10.00%,0.93%,-40.66%,-,0.07,6.00%,7.99%,3.90%,3.57%,-10.46%,-31.76%,29.45%,-69.21%,34.67%,55.34,-8.18%,1.85%,-,239.02K,0.87,1.01,-6.48%,"205,620",Sep 21/b,-,10/25/2018,-,-
156,PTE,"PolarityTE, Inc.",Healthcare,Biotechnology,USA,23.61M,-,-,-,2.95,0.98,1.02,-,-,-,-1.69,-329.30%,22.90%,5.60%,15.00%,-3.30%,79.00%,135.70%,38.76M,25.33M,25.20%,-1.01%,23.30%,-0.19%,10.65%,2.35,-99.60%,-160.20%,-226.70%,3.20,3.10,0.11,0.21,59.90%,-,-,1.29%,-32.61%,-39.23%,-47.47%,-77.46%,-76.16%,1.14,0.06,5.52%,7.77%,0.51%,-20.21%,-38.99%,-46.10%,19.89%,-85.59%,19.89%,43.05,6.44%,0.48%,2.30,1.15M,1.61,0.66,6.95%,"1,827,089",-,-,8/16/1999,-,-
157,PTI,"Proteostasis Therapeutics, Inc.",Healthcare,Biotechnology,USA,58.94M,-,-,-,-,1.56,1.44,-,-,-,-0.75,28.00%,-22.90%,5.70%,-,-0.60%,37.70%,-,52.18M,43.76M,15.30%,0.00%,22.10%,28.64%,2.50%,1.93,-56.20%,-78.60%,-98.00%,6.80,6.80,0.00,0.01,-,-,-,-5.93%,6.73%,3.74%,-25.50%,-25.50%,-51.32%,1.12,0.09,7.63%,8.05%,0.05%,0.95%,-14.45%,-17.78%,18.29%,-59.19%,27.59%,49.29,0.00%,0.00%,2.00,567.11K,3.88,1.11,0.00%,0,-,-,2/11/2016,-,-
158,PTN,"Palatin Technologies, Inc.",Healthcare,Biotechnology,USA,126.36M,-,-,-,-,1.71,1.46,-,-,-,-0.09,-158.00%,50.00%,8.10%,-,-60.90%,13.70%,-,236.35M,221.15M,6.20%,0.00%,15.20%,-7.77%,3.50%,4.57,-23.70%,-26.10%,-29.40%,7.90,7.40,0.00,0.00,-,-,-,38.48%,35.82%,15.54%,1.97%,-27.92%,-27.77%,1.60,0.03,11.58%,7.13%,74.47%,82.79%,59.58%,35.93%,106.61%,-5.95%,118.25%,84.90,3.31%,32.74%,1.30,1.69M,29.11,0.77,37.13%,"48,820,688",Nov 17/b,-,10/28/1993,-,-
159,PULM,"Pulmatrix, Inc.",Healthcare,Biotechnology,USA,45.87M,-,-,-,3.73,1.87,1.33,-,-,-,-0.79,75.30%,-2.40%,48.70%,-,-,-77.60%,214.30%,33.93M,26.91M,1.09%,0.00%,30.30%,25.29%,0.97%,0.54,-56.40%,-147.80%,-,3.50,3.50,0.00,0.00,-,-91.10%,-,-3.01%,18.35%,8.40%,-32.46%,51.76%,50.00%,1.70,0.08,7.97%,7.06%,-2.77%,5.88%,-5.34%,-11.54%,28.43%,-38.44%,56.17%,51.39,-2.69%,0.78%,-,479.82K,1.68,1.26,-1.94%,"795,986",-,-,3/21/2014,-,-
160,PVL,Permianville Royalty Trust,Energy,Oil & Gas E&P,USA,26.45M,3.49,-,-,3.53,0.36,264.47,-,19.36%,72.00%,0.23,-33.70%,-,-19.70%,-,-19.90%,-95.50%,-93.30%,33.00M,22.51M,31.80%,0.00%,4.10%,-11.81%,0.22%,0.23,9.90%,9.90%,12.30%,0.40,0.40,0.00,0.00,-,99.90%,98.80%,-3.67%,26.67%,10.56%,-40.53%,-57.57%,-57.57%,1.88,0.05,4.18%,6.42%,0.87%,21.47%,-21.21%,-10.51%,71.20%,-63.37%,71.20%,57.83,0.32%,0.00%,-,215.41K,0.55,0.79,0.32%,"116,648",-,-,11/3/2011,-,-
181,SNGX,"Soligenix, Inc.",Healthcare,Biotechnology,USA,42.58M,-,-,-,15.77,5.56,3.77,-,-,-,-0.63,28.50%,41.50%,31.70%,1.00%,-8.00%,55.30%,-53.80%,29.57M,28.70M,3.85%,0.00%,11.70%,5.44%,1.66%,0.63,-139.30%,-326.40%,-662.00%,2.30,2.30,0.03,0.07,20.50%,-,-,-40.09%,-36.82%,-24.46%,-25.67%,0.00%,-4.14%,1.56,0.29,10.95%,8.66%,-42.99%,-34.07%,-30.69%,-52.86%,9.09%,-62.71%,9.09%,30.58,-5.71%,0.72%,2.20,756.15K,5.14,1.32,-5.04%,"3,852,148",-,-,4/4/1994,-,-
182,SNSS,"Sunesis Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,33.25M,-,-,-,15.11,1.55,1.28,-,-,-,-1.86,64.20%,-34.80%,42.60%,-,-18.40%,48.50%,-,15.93M,14.25M,0.11%,0.00%,42.90%,74.75%,3.89%,0.58,-72.30%,-179.10%,-109.80%,7.70,7.70,0.00,0.00,-,-,-,-1.60%,44.88%,47.20%,-42.25%,-36.68%,-45.51%,2.27,0.12,4.34%,7.76%,8.02%,29.99%,-34.55%,-8.21%,69.64%,-83.19%,69.64%,64.57,4.40%,-1.09%,3.00,949.44K,0.81,1.90,3.26%,"765,152",Nov 16/a,3.25,9/27/2005,-,-
183,SOHO,Sotherly Hotels Inc.,Real Estate,REIT - Hotel & Motel,USA,39.45M,-,-,-,0.39,0.62,2.55,-,-,-,-3.31,-2.40%,74.30%,-50.40%,0.00%,8.60%,-,-66.20%,14.33M,12.99M,12.74%,0.00%,22.00%,-1.37%,0.24%,0.12,-9.90%,-58.70%,3.80%,-,-,6.01,6.01,59.50%,-18.60%,-46.60%,-7.39%,25.24%,53.80%,-3.66%,-60.39%,-61.21%,2.33,0.21,5.25%,8.48%,0.04%,22.68%,22.93%,-17.65%,79.73%,-61.45%,86.01%,53.90,1.14%,0.00%,2.00,256.49K,0.66,2.66,1.14%,"167,458",Nov 09/b,2.75,12/17/2004,-,-
184,SONM,"Sonim Technologies, Inc.",Technology,Communication Equipment,USA,40.21M,-,-,-,0.62,1.18,1.27,-,-,-,-1.14,-205.30%,49.40%,-,25.00%,-,70.50%,-50.20%,65.94M,59.08M,2.80%,-0.42%,61.10%,3.96%,0.48%,0.31,-51.50%,-104.40%,-66.60%,2.20,1.70,0.01,0.01,22.30%,-42.20%,-46.40%,-0.98%,4.55%,-22.34%,-30.15%,-81.58%,-83.10%,-,0.04,3.49%,6.45%,2.89%,10.00%,-19.59%,-13.09%,52.06%,-83.70%,52.06%,56.54,4.12%,0.00%,2.30,917.97K,1.06,0.64,4.12%,"967,538",Nov 11/b,-,5/10/2019,-,-
185,SONN,"Sonnet BioTherapeutics Holdings, Inc.",Healthcare,Biotechnology,USA,31.23M,-,-,-,1.81,11.55,4.28,-,-,-,-34.55,89.10%,-,45.70%,-,-,68.40%,-,13.52M,12.95M,6.40%,0.00%,3.30%,52.71%,10.92%,2.01,-,-,-,1.60,-,0.03,0.03,6.00%,-,-,-10.12%,-4.94%,-4.55%,-47.26%,-84.14%,-84.94%,0.74,0.17,5.94%,7.52%,-10.08%,-10.46%,-45.20%,-24.01%,5.00%,-95.77%,5.00%,39.62,0.00%,0.00%,2.00,704.48K,1.27,2.31,0.00%,"888,410",-,-,7/27/2005,-,-
186,SPCB,SuperCom Ltd.,Industrials,Security & Protection Services,Israel,19.83M,-,-,-,1.67,2.07,198.34,-,-,-,-0.73,31.10%,-,-29.00%,-,-11.10%,-,-16.40%,16.15M,14.21M,16.80%,0.00%,14.30%,253.50%,4.45%,0.44,-,-,-35.90%,1.60,1.40,1.71,1.76,35.50%,-68.10%,-,0.94%,38.33%,34.88%,-41.89%,74.23%,73.42%,0.40,0.10,7.59%,10.59%,1.60%,16.29%,-2.19%,-35.14%,40.82%,-65.37%,328.08%,55.75,0.96%,-1.40%,3.00,1.44M,0.63,1.07,-0.45%,"892,131",-,-,1/26/2004,-,-
187,SPRT,"Support.com, Inc.",Technology,Software - Application,USA,41.89M,70.67,-,7.07,0.90,1.20,1.41,10.74,-,0.00%,0.03,141.80%,-,24.60%,10.00%,-5.30%,-134.40%,-32.20%,19.24M,15.29M,8.50%,-1.17%,32.30%,-3.27%,0.07%,0.09,1.50%,1.70%,8.40%,8.70,8.70,0.00,0.00,31.80%,-0.20%,1.30%,0.47%,8.72%,23.26%,42.28%,94.37%,94.50%,0.47,0.09,3.73%,4.32%,-1.85%,-2.84%,23.38%,-18.11%,16.86%,-18.11%,116.13%,46.71,0.50%,-5.66%,2.00,120.42K,3.02,2.01,-5.19%,"360,520",-,-,7/19/2000,-,-
188,SRAX,"SRAX, Inc.",Communication Services,Advertising Agencies,USA,43.50M,-,-,-,8.36,2.23,6.04,-,-,-,-1.46,-257.70%,38.90%,-6.10%,15.00%,-6.90%,-516.60%,160.00%,14.48M,13.42M,16.26%,0.00%,4.20%,-4.75%,6.36%,10.87,-76.30%,-137.10%,-142.90%,0.70,0.70,0.18,0.42,61.80%,-,-,9.96%,-6.12%,5.75%,22.12%,101.46%,10.84%,2.03,0.19,6.68%,6.48%,3.39%,2.53%,12.12%,-18.13%,31.55%,-19.28%,110.08%,54.38,-2.87%,1.09%,2.00,78.57K,0.94,2.71,-1.81%,"73,393",Nov 16/b,-,10/12/2012,-,-
189,STCN,"Steel Connect, Inc.",Industrials,Integrated Freight & Logistics,USA,49.37M,-,-,-,0.07,1.05,0.47,0.75,-,-,-0.26,89.30%,-,19.50%,10.00%,6.90%,-233.50%,-24.60%,61.89M,54.76M,0.90%,0.00%,47.30%,-2.25%,0.06%,0.21,-2.00%,-32.40%,6.40%,1.00,0.90,7.77,7.89,21.90%,3.50%,-2.20%,-8.18%,18.79%,48.26%,26.25%,-52.75%,-44.66%,1.05,0.09,11.83%,11.22%,-10.29%,11.35%,20.79%,-24.04%,54.90%,-55.62%,96.52%,47.81,-2.47%,0.25%,-,156.62K,0.99,0.79,-2.23%,"152,901",-,-,1/25/1994,-,-
190,STKS,"The ONE Group Hospitality, Inc.",Consumer Cyclical,Restaurants,USA,89.87M,8.29,78.75,6.91,0.60,3.35,3.38,74.89,-,0.00%,0.38,503.80%,118.20%,23.40%,1.20%,19.60%,-296.10%,79.20%,29.01M,19.69M,1.70%,-4.21%,29.50%,0.13%,0.48%,1.02,5.50%,38.60%,28.80%,1.40,1.30,2.33,2.35,75.00%,0.30%,7.70%,2.61%,2.27%,66.67%,81.03%,-8.43%,-13.46%,2.40,0.21,6.88%,6.59%,5.99%,18.82%,69.90%,-2.61%,70.52%,-28.21%,360.27%,63.00,-5.35%,12.70%,2.30,92.31K,2.56,3.36,6.67%,"233,667",Nov 05/a,3.17,10/17/2013,-,-
191,STRM,"Streamline Health Solutions, Inc.",Healthcare,Health Information Services,USA,53.53M,-,-,-,4.06,2.67,17.84,-,-,-,-0.19,129.80%,-11.80%,16.30%,15.00%,-5.60%,-122.60%,-25.70%,30.29M,24.59M,2.40%,0.00%,44.00%,0.80%,0.20%,0.70,-3.20%,-5.00%,-11.60%,0.90,0.90,0.04,0.13,51.30%,-53.30%,-7.00%,-0.61%,5.16%,8.67%,28.35%,26.85%,17.27%,0.79,0.09,3.85%,6.02%,-2.84%,3.48%,27.53%,-16.15%,23.85%,-16.15%,204.35%,48.88,-1.83%,0.61%,2.00,70.00K,0.42,1.61,-1.23%,"29,326",Dec 08/a,2.50,4/18/1996,-,-
192,SVRA,Savara Inc.,Healthcare,Biotechnology,USA,70.31M,-,-,-,234.36,1.08,0.75,-,-,-,-1.34,-5.70%,37.50%,34.70%,-,-,38.30%,-,60.29M,45.22M,0.40%,0.00%,41.50%,-10.63%,1.59%,2.87,-56.20%,-77.40%,-,12.60,12.60,0.33,0.00,-,-,-,9.60%,16.10%,16.10%,-50.54%,-25.14%,-69.42%,1.21,0.12,9.08%,9.65%,2.26%,12.49%,-25.95%,-9.67%,36.15%,-75.27%,36.15%,55.91,-1.09%,0.00%,2.00,250.87K,1.22,1.36,-1.09%,"302,155",Nov 05/a,-,10/16/2000,-,-
193,SXTC,"China SXT Pharmaceuticals, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,China,18.39M,-,-,-,3.54,0.76,2.52,22.99,-,-,-0.42,-656.00%,-,-,-,-,-,271.40%,74.06M,45.94M,13.70%,0.00%,8.30%,-19.15%,0.30%,0.05,-58.60%,-114.70%,-42.60%,1.60,1.50,0.00,0.71,52.40%,-,-,-5.20%,4.84%,18.69%,-39.94%,-61.09%,-64.84%,-,0.03,4.99%,8.71%,-0.19%,4.94%,-19.43%,-31.05%,25.48%,-78.80%,41.18%,52.45,8.17%,0.59%,-,2.65M,1.55,0.31,8.81%,"4,064,574",-,-,1/4/2019,-,-
194,SYBX,"Synlogic, Inc.",Healthcare,Biotechnology,USA,81.53M,-,-,-,45.30,0.69,0.80,-,-,-,-1.64,16.40%,10.80%,23.60%,-,-,6.20%,-,36.30M,28.21M,0.10%,0.00%,39.90%,-8.62%,3.60%,0.92,-34.40%,-41.60%,-34.60%,16.40,16.40,0.00,0.00,-,-,-,0.00%,11.65%,19.17%,13.30%,0.88%,-10.85%,2.22,0.22,5.13%,11.97%,-0.80%,7.79%,7.91%,-42.48%,28.93%,-42.48%,70.00%,52.70,1.55%,-1.74%,1.60,1.10M,0.31,2.30,-0.22%,"343,240",Nov 05/b,-,10/1/2015,-,-
195,SYN,"Synthetic Biologics, Inc.",Healthcare,Biotechnology,USA,7.83M,-,-,-,-,-,1.31,-,-,-,-0.71,75.90%,44.60%,38.60%,-,-,55.70%,-,19.99M,19.86M,0.37%,0.00%,7.10%,-0.94%,1.63%,0.54,-109.60%,207.90%,-,2.20,2.20,-,-,-,-,-,-2.04%,-1.37%,-26.14%,-34.03%,-28.87%,-30.36%,2.27,0.03,7.89%,6.65%,0.62%,6.05%,-11.55%,-22.86%,29.62%,-51.04%,45.60%,52.90,-5.21%,9.75%,2.50,595.35K,5.88,0.37,4.02%,"3,463,892",Nov 10/a,-,4/5/1993,-,-
196,SYNC,"Synacor, Inc.",Technology,Software - Infrastructure,USA,62.24M,-,-,-,0.74,1.80,14.47,-,-,-,-0.31,-18.80%,83.90%,13.30%,25.00%,2.70%,-5.20%,-41.10%,39.50M,33.95M,3.00%,0.00%,45.60%,-0.36%,0.09%,0.40,-17.80%,-32.10%,-18.60%,0.90,0.90,0.04,0.07,49.00%,-13.30%,-14.50%,-3.87%,5.67%,9.56%,33.04%,-1.97%,-1.97%,0.65,0.08,4.65%,5.61%,2.72%,4.95%,18.32%,-8.59%,24.17%,-12.87%,88.54%,54.92,-0.67%,0.67%,2.30,80.36K,0.70,1.49,0.00%,"56,001",Nov 11/a,2.17,2/10/2012,-,-
197,SYPR,"Sypris Solutions, Inc.",Consumer Cyclical,Auto Parts,USA,31.19M,14.79,-,1.85,0.37,1.93,3.76,-,-,0.00%,0.09,-10.80%,-,-24.50%,8.00%,-24.40%,323.00%,-0.40%,21.06M,10.83M,18.20%,0.00%,6.40%,-2.45%,0.82%,0.10,3.40%,15.40%,-12.20%,1.50,0.80,0.49,0.82,14.10%,-0.70%,2.40%,2.21%,-4.14%,43.65%,86.55%,72.67%,78.18%,1.61,0.11,5.83%,7.21%,2.27%,9.34%,46.95%,-17.71%,33.33%,-33.02%,167.41%,56.62,2.86%,0.72%,3.00,861.05K,0.34,1.44,3.60%,"287,525",Nov 12/b,-,5/18/1994,-,-
198,TAT,TransAtlantic Petroleum Ltd.,Energy,Oil & Gas E&P,USA,18.78M,-,-,-,0.47,-,-,-,-,-,-0.54,-,-,-,-,-,-,-41.10%,76.34M,34.27M,56.04%,0.00%,13.57%,-,9.93%,1.39,-,-,-,-,-,-,-,-,-,-,-1.48%,17.25%,-0.20%,-20.65%,-44.10%,-49.62%,-,0.02,5.83%,9.95%,-3.48%,0.12%,-2.97%,-29.69%,25.77%,-70.71%,105.00%,48.42,0.00%,0.00%,3.00,2.44M,0.40,0.25,0.00%,0,Nov 16/a,-,10/20/2003,-,-
199,TENX,"Tenax Therapeutics, Inc.",Healthcare,Biotechnology,USA,14.57M,-,-,-,-,1.82,1.68,-,-,-,-1.20,85.00%,40.20%,33.00%,-,-,45.80%,-,12.43M,10.56M,0.33%,-,32.20%,68.62%,0.32%,0.19,-147.20%,-222.70%,-,6.50,6.50,0.03,0.03,-,-,-,2.83%,7.92%,-33.54%,9.00%,-6.03%,-22.70%,2.31,0.09,5.54%,9.03%,2.71%,3.50%,3.57%,-21.68%,39.36%,-58.21%,348.00%,53.09,5.66%,-2.75%,-,181.00K,0.80,1.12,2.75%,"144,262",-,-,4/4/1994,-,-
200,TGA,TransGlobe Energy Corporation,Energy,Oil & Gas E&P,Canada,67.32M,-,-,-,0.61,0.46,2.48,1.65,-,-,-1.14,-125.50%,167.60%,-19.10%,-13.14%,-13.10%,-300.80%,-46.00%,72.54M,66.31M,6.30%,0.00%,38.00%,-3.75%,0.22%,0.18,-33.90%,-50.80%,1.10%,1.30,1.00,0.05,0.20,45.40%,-63.30%,-75.00%,-7.37%,88.64%,114.63%,52.57%,-40.54%,-36.23%,2.88,0.08,8.13%,14.59%,22.48%,66.65%,78.42%,-10.15%,156.29%,-39.72%,213.63%,67.23,7.20%,0.00%,2.50,790.60K,0.24,0.94,7.20%,"187,541",-,-,3/12/1984,-,-
201,TGC,"Tengasco, Inc.",Energy,Oil & Gas E&P,USA,12.11M,-,-,-,3.56,2.71,4.84,-,-,-,-0.19,-198.40%,-,20.60%,-,-18.70%,-345.70%,-33.30%,10.68M,10.47M,1.80%,0.00%,3.40%,0.84%,0.85%,0.06,-25.40%,-37.60%,-7.60%,3.80,3.50,0.02,0.04,2.90%,-58.90%,-60.20%,-5.79%,5.56%,43.70%,100.00%,140.99%,132.61%,1.46,0.14,9.45%,13.11%,0.44%,12.66%,59.45%,-72.45%,50.14%,-72.45%,225.41%,52.12,4.44%,0.88%,-,1.40M,0.21,1.20,5.36%,"290,325",-,-,12/28/1998,-,-
202,TOMZ,"TOMI Environmental Solutions, Inc.",Industrials,Pollution & Treatment Controls,USA,68.92M,11.05,-,-,2.97,5.06,11.68,14.98,-,0.00%,0.36,29.50%,-,-60.80%,-,23.10%,460.90%,168.70%,16.74M,10.08M,0.10%,0.00%,-,-,0.58%,0.31,49.00%,78.10%,-35.30%,5.00,3.50,0.03,0.03,60.00%,30.10%,29.10%,-1.23%,-8.68%,-29.82%,-58.33%,448.85%,343.26%,-5.72,0.44,7.99%,9.65%,10.19%,-22.08%,-37.15%,-54.49%,26.27%,-72.36%,513.28%,50.28,17.75%,0.00%,-,186.14K,1.71,4.71,17.75%,"315,483",Nov 12/a,-,6/20/2008,-,-
203,TOPS,Top Ships Inc.,Industrials,Marine Shipping,Greece,48.18M,-,-,-,0.70,0.00,8.60,-,-,-,-114.05,13.60%,22.20%,-52.96%,-,78.90%,87.10%,65.50%,39.83M,33.49M,-,-,0.80%,180.04%,5.01%,0.55,-6.10%,-23.00%,0.20%,0.30,0.30,2.07,2.20,97.00%,5.50%,-34.40%,-8.53%,5.36%,10.28%,-66.55%,-94.38%,-94.10%,0.09,0.11,4.58%,10.76%,-2.98%,5.46%,-55.23%,-28.49%,23.00%,-95.72%,29.47%,49.94,4.24%,0.00%,3.00,3.04M,1.07,1.23,4.24%,"3,212,207",-,-,7/23/2004,-,-
