"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
68,"EPM",0.75%,-0.37%,12.61%,-3.60%,-52.82%,-51.01%,5.97%,7.20%,2.30,122.65,0.89,2.66,-0.75%,108728
69,"ETTX",16.50%,32.60%,-9.09%,-18.64%,-49.47%,-51.71%,11.98%,7.33%,1.90,758.32,0.42,2.51,4.58%,317684
70,"EVOK",-3.05%,-8.33%,-39.53%,-19.89%,89.40%,76.54%,9.88%,7.31%,2.00,236.85,0.94,2.96,3.50%,222380
71,"EYES",42.66%,142.28%,142.86%,90.65%,-67.06%,-65.63%,13.32%,18.98%,2.00,1680.68,2.49,2.81,37.75%,4188650
72,"EYPT",2.87%,12.24%,-18.46%,-44.69%,-68.19%,-69.94%,7.68%,9.86%,2.00,161.98,1.54,4.56,-2.15%,248895
73,"FARM",10.30%,-10.55%,-14.50%,-51.37%,-71.60%,-72.97%,4.80%,5.26%,3.00,110.58,0.87,4.00,-1.72%,95846
74,"FEDU",-2.45%,14.06%,20.65%,-16.87%,-47.26%,-38.69%,5.08%,7.43%,3.00,197.53,0.59,1.08,10.10%,115906
75,"FPAY",0.00%,43.98%,33.52%,40.59%,13.27%,-5.53%,7.98%,10.55%,2.00,207.95,1.00,2.41,0.84%,207036
76,"GASS",-9.88%,-12.40%,-19.49%,-15.77%,-38.83%,-36.15%,7.43%,5.46%,1.00,91.62,2.24,2.24,2.28%,205468
77,"GEN",-8.28%,6.83%,-16.21%,-29.36%,-68.13%,-68.32%,7.83%,7.87%,3.00,1189.82,0.49,0.54,3.06%,578174
78,"GENE",1.14%,18.39%,0.85%,69.38%,78.79%,77.88%,5.66%,8.67%,,922.58,0.41,3.44,-2.82%,376893
79,"GLMD",0.55%,-2.13%,-6.36%,-29.64%,-35.55%,-36.33%,13.08%,8.71%,1.80,100.39,1.05,3.68,0.00%,105559
80,"GNLN",8.38%,47.24%,92.34%,14.78%,52.50%,31.18%,11.41%,11.68%,1.60,337.82,0.82,4.41,3.28%,278169
81,"GRNQ",7.03%,-19.88%,38.38%,-27.13%,174.00%,140.35%,14.62%,9.23%,3.00,2774.42,2.45,1.29,-5.84%,6800956
82,"GROW",7.76%,53.25%,83.66%,104.33%,260.31%,227.78%,5.77%,7.39%,,100.33,0.94,4.84,2.54%,94011
83,"GSUM",-4.17%,-3.35%,43.75%,107.72%,1.26%,31.97%,2.20%,2.45%,,391.15,0.10,1.61,0.00%,40674
84,"GVP",4.44%,35.58%,42.90%,35.58%,-4.73%,-14.55%,4.89%,9.69%,2.00,190.81,1.07,1.40,-0.71%,204480
85,"HALL",-4.07%,-3.23%,16.20%,0.61%,-81.56%,-81.22%,3.57%,4.93%,2.50,186.07,0.78,3.32,0.61%,144577
86,"HBP",-1.97%,-3.86%,54.42%,190.83%,108.98%,126.62%,2.71%,3.45%,,442.93,0.07,3.58,2.58%,30164
87,"HDSN",-28.67%,-12.07%,-9.73%,0.99%,30.28%,4.35%,10.03%,11.51%,3.00,583.18,4.01,1.10,7.84%,2337926
88,"HNRG",-3.67%,21.37%,58.61%,38.69%,-60.38%,-64.65%,3.96%,8.60%,,243.12,0.73,1.01,-3.81%,178270
89,"HOFV",-2.21%,4.72%,-52.50%,-83.84%,-81.77%,-82.15%,4.68%,6.96%,,3498.92,0.27,1.33,0.00%,940708
90,"HSDT",-5.14%,-0.29%,0.29%,-13.08%,-35.43%,-60.39%,8.18%,7.65%,,157.57,1.36,0.38,-1.61%,215025
91,"HUGE",-6.01%,26.47%,-37.00%,-57.95%,-65.60%,-68.32%,11.71%,11.32%,,823.50,0.36,1.68,-2.33%,295576
92,"ICON",-3.64%,35.93%,46.81%,-4.93%,-3.64%,-21.48%,7.25%,11.49%,2.00,1357.73,0.20,1.14,7.55%,266444
93,"IFMK",5.40%,-1.40%,1.64%,-25.26%,110.79%,102.64%,9.04%,8.46%,,277.07,1.31,0.80,-2.98%,362329
94,"IMBI",-20.00%,-36.00%,-35.48%,17.99%,3.36%,0.25%,8.74%,8.04%,2.00,62.97,1.13,4.09,2.25%,71241
95,"IMH",-8.30%,79.05%,119.01%,45.60%,-47.00%,-49.62%,15.67%,11.80%,,152.52,1.25,2.72,2.64%,190878
96,"INUV",3.76%,14.68%,5.80%,-24.86%,46.29%,40.01%,5.61%,6.84%,2.30,2671.15,0.70,0.40,-2.51%,1882284
97,"IO",2.11%,30.81%,61.33%,-6.92%,-72.41%,-72.12%,7.92%,9.47%,2.70,437.82,1.06,2.27,-6.20%,461939
98,"IRIX",-5.81%,-2.99%,-12.90%,-23.22%,-36.72%,-27.35%,6.19%,5.59%,,70.06,2.42,1.68,3.70%,169248
99,"ISR",10.80%,25.65%,-22.25%,-24.88%,-23.77%,-27.03%,11.52%,8.18%,2.00,1067.81,1.42,0.45,-1.45%,1513182
100,"ITP",0.03%,6.52%,36.75%,22.20%,-28.38%,-29.14%,6.43%,9.19%,,2240.73,0.86,0.58,-13.06%,1928894
101,"JOB",-1.94%,-2.88%,-0.98%,87.04%,152.56%,158.97%,3.39%,5.36%,2.00,479.77,0.19,1.02,0.99%,90204
102,"JT",15.81%,6.03%,-31.47%,-53.75%,-74.05%,-74.92%,8.55%,9.36%,2.00,131.93,2.07,2.89,-3.34%,273515
103,"KERN",8.50%,39.27%,-4.96%,-52.72%,-62.82%,-54.57%,7.94%,13.81%,2.00,1668.08,0.37,3.85,0.52%,614725
104,"KIQ",6.46%,4.34%,4.92%,-17.32%,-29.14%,-24.55%,4.68%,7.33%,,80.95,1.89,0.53,-2.86%,152757
105,"KTOV",1.21%,1.96%,-2.34%,-49.15%,-43.65%,-46.51%,2.70%,3.58%,,349.37,0.91,4.17,0.00%,0
106,"KTRA",-4.93%,-10.00%,-0.37%,71.02%,153.19%,95.74%,7.00%,8.77%,2.00,377.16,0.90,1.35,0.00%,340696
107,"LAIX",-2.08%,-16.07%,-27.32%,-46.39%,-65.94%,-70.99%,3.26%,7.20%,4.00,122.43,0.44,1.40,-0.71%,53976
108,"LEE",0.85%,25.33%,48.64%,13.33%,-2.46%,-16.20%,6.09%,6.91%,,228.77,0.79,1.18,-0.84%,181445
109,"LMFA",-2.66%,5.40%,7.85%,-60.69%,-24.61%,-19.37%,9.12%,10.24%,,2737.20,0.29,0.64,1.70%,795665
110,"LODE",-2.88%,2.19%,-15.13%,28.14%,160.18%,128.82%,6.03%,5.60%,,459.72,0.87,1.00,-0.99%,399255
111,"LPCN",5.97%,2.90%,-8.39%,26.79%,317.89%,268.93%,5.04%,8.85%,1.50,2025.99,0.71,1.43,0.70%,1444166
