"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Volatility (Week)","Volatility (Month)","Analyst Recom","Average Volume","Relative Volume","Price","Change","Volume"
44,"TOMZ",-4.80%,-9.36%,-33.83%,-58.30%,396.25%,339.94%,7.61%,9.30%,,181.76,1.01,4.09,3.02%,183868
45,"SINT",-7.53%,8.18%,-15.69%,-14.43%,16.22%,15.44%,4.17%,8.46%,2.00,1567.86,1.04,1.77,2.91%,1636552
46,"MCHX",-11.16%,13.11%,15.00%,26.22%,-46.51%,-45.24%,6.19%,5.45%,2.00,85.93,0.51,2.13,2.90%,43516
47,"APEN",-13.37%,29.63%,150.00%,109.58%,22.38%,22.81%,9.23%,12.07%,2.00,136.87,0.76,3.60,2.86%,104100
48,"IMH",-14.00%,74.32%,116.81%,38.71%,-46.91%,-50.95%,14.28%,11.36%,,151.65,0.52,2.65,2.71%,78909
49,"BBI",-2.54%,15.13%,-15.37%,-37.87%,-49.29%,-54.03%,4.80%,6.26%,1.50,2217.22,0.52,0.71,2.62%,1144337
50,"DOGZ",6.59%,-2.51%,76.36%,25.15%,31.08%,45.86%,6.91%,11.11%,,796.80,0.02,1.99,2.58%,19039
51,"SACH",-3.36%,-2.66%,3.07%,35.46%,-6.50%,-7.14%,3.10%,2.60%,1.50,60.58,1.66,4.13,2.48%,100352
52,"USIO",5.00%,28.83%,-5.83%,4.48%,10.53%,34.62%,7.94%,8.14%,1.80,243.66,5.52,2.15,2.38%,1344584
53,"OEG",8.40%,66.99%,147.84%,88.14%,9.32%,17.27%,12.01%,20.81%,,4293.63,0.32,1.32,2.33%,1374406
54,"MLND",8.91%,30.95%,41.03%,-8.33%,-68.07%,-67.36%,8.37%,6.74%,1.70,383.24,1.46,2.25,2.27%,558119
55,"SNGX",16.52%,21.27%,36.73%,42.55%,98.52%,84.83%,8.82%,9.11%,2.20,538.12,1.12,2.74,2.24%,601315
56,"KTOV",-2.16%,-1.21%,-8.31%,-46.81%,-43.05%,-47.67%,2.35%,3.52%,,353.47,0.88,4.17,2.21%,311363
57,"LPCN",6.11%,0.72%,-12.85%,21.93%,321.21%,261.13%,5.58%,8.75%,1.50,2051.69,0.69,1.42,2.16%,1408973
58,"KERN",7.14%,36.36%,-7.64%,-56.14%,-65.25%,-55.52%,7.20%,13.88%,2.00,1660.74,0.34,3.83,2.13%,564897
59,"TURN",0.00%,-3.05%,-2.55%,2.14%,-11.09%,-11.16%,3.89%,3.97%,,50.87,3.14,1.95,1.90%,159583
60,"PTI",-5.83%,4.63%,-7.38%,-24.16%,-15.67%,-50.44%,7.26%,7.92%,2.00,535.50,1.57,1.15,1.77%,842104
61,"ADIL",-8.08%,7.69%,42.19%,27.27%,-25.41%,-24.48%,6.25%,7.84%,2.00,2595.61,0.08,1.85,1.65%,210109
62,"RLH",-5.73%,7.39%,17.62%,26.67%,-23.77%,-33.78%,8.42%,5.57%,2.00,90.75,1.24,2.51,1.62%,112182
63,"BWEN",11.89%,13.05%,48.29%,24.43%,143.26%,160.84%,8.86%,9.45%,2.00,316.37,0.57,4.40,1.62%,180143
64,"EPM",-9.90%,1.15%,10.46%,-5.71%,-54.01%,-51.74%,7.55%,7.18%,2.30,123.53,0.91,2.68,1.52%,112554
65,"KTRA",-6.34%,-20.83%,-8.28%,45.51%,144.04%,92.84%,7.09%,9.41%,2.00,381.14,0.60,1.35,1.50%,229324
66,"LUB",0.72%,-4.14%,12.10%,91.72%,26.36%,26.36%,4.03%,5.17%,,171.89,0.11,2.82,1.44%,18107
67,"CCNC",-2.53%,-5.95%,44.95%,-23.30%,53.50%,31.67%,16.51%,10.16%,,749.19,0.09,1.60,1.27%,70122
68,"FARM",0.50%,-9.87%,-18.46%,-52.14%,-72.73%,-73.31%,6.71%,5.21%,3.00,111.29,0.81,4.07,1.24%,90503
69,"QLGN",-13.05%,-8.77%,-35.28%,-33.00%,-16.23%,-21.14%,12.58%,8.40%,2.00,1096.49,0.62,3.37,1.20%,681967
70,"NEOS",-3.16%,19.72%,3.41%,-11.91%,-54.41%,-55.62%,6.74%,12.09%,2.00,4035.57,0.35,0.68,1.07%,1416674
71,"ZSAN",-9.65%,20.48%,-67.09%,-31.84%,-58.09%,-61.68%,7.70%,9.44%,1.70,5292.91,0.26,0.59,1.05%,1382302
72,"LODE",-7.41%,0.50%,-17.36%,29.94%,174.73%,126.55%,6.60%,5.70%,,466.48,0.70,1.01,1.00%,325219
73,"CATB",-2.26%,58.82%,-67.66%,-70.21%,-60.00%,-63.45%,8.29%,12.70%,3.00,4971.95,0.24,2.18,0.93%,1176176
74,"SPCB",0.92%,37.53%,33.33%,-37.14%,64.41%,77.45%,7.03%,10.51%,3.00,1425.21,0.43,1.11,0.91%,610403
75,"CTXR",-4.24%,19.77%,10.78%,27.12%,88.71%,10.78%,5.75%,6.35%,2.00,771.01,0.38,1.14,0.88%,294535
76,"PULM",-8.59%,7.34%,-0.85%,-40.61%,39.29%,36.05%,6.87%,6.86%,,466.21,0.82,1.18,0.85%,382926
77,"RIBT",-2.13%,-4.67%,23.27%,-38.07%,-59.19%,-62.52%,6.59%,10.01%,2.00,583.70,0.38,0.56,0.78%,221629
78,"NINE",13.17%,64.67%,114.84%,26.73%,-61.65%,-64.83%,10.54%,14.82%,3.10,284.65,0.74,2.77,0.73%,211630
79,"NSPR",-4.49%,-8.36%,-3.23%,-32.65%,-65.76%,-69.44%,8.47%,7.53%,2.00,1173.85,1.00,0.33,0.70%,1179483
80,"OSS",6.47%,30.97%,31.56%,35.16%,55.79%,46.53%,6.27%,6.09%,2.00,118.74,0.68,2.98,0.68%,81099
81,"MRAM",-16.23%,-23.05%,-19.57%,-36.30%,-21.97%,-15.59%,7.57%,5.77%,1.50,193.70,1.94,4.47,0.68%,375013
82,"STRM",-1.22%,3.85%,1.25%,39.66%,31.71%,16.55%,4.45%,6.21%,2.00,71.34,0.41,1.63,0.62%,29365
83,"BIOC",-9.06%,9.82%,5.35%,-36.07%,94.85%,72.03%,5.92%,7.38%,2.00,646.46,0.44,4.95,0.61%,287545
84,"VTNR",-9.72%,26.95%,38.33%,-12.75%,-58.33%,-57.79%,9.55%,12.58%,1.70,573.28,0.82,0.65,0.54%,471447
85,"VBLT",10.29%,59.50%,53.17%,53.17%,67.83%,60.83%,11.11%,8.96%,1.80,224.45,1.81,1.94,0.52%,405248
86,"EYPT",8.67%,11.65%,-19.57%,-47.26%,-68.00%,-70.06%,8.21%,9.97%,2.00,159.84,1.02,4.66,0.43%,163351
87,"ETTX",19.50%,32.04%,-13.72%,-19.26%,-50.21%,-51.91%,9.70%,6.75%,1.90,748.88,0.89,2.40,0.42%,667873
88,"IO",-5.86%,39.31%,53.99%,-6.23%,-72.80%,-72.24%,9.07%,9.41%,2.70,437.00,0.52,2.42,0.41%,227313
89,"BLRX",-1.50%,19.55%,55.62%,52.91%,32.83%,16.89%,19.37%,10.36%,1.70,5599.67,0.27,2.64,0.38%,1505323
90,"ADMP",-4.03%,22.85%,-36.70%,-15.71%,-11.72%,-29.37%,4.97%,7.90%,3.00,4592.16,0.31,0.50,0.28%,1426837
91,"PTE",-1.74%,-24.95%,-39.28%,-51.33%,-75.76%,-75.48%,7.59%,9.16%,2.30,1116.91,0.90,0.64,0.25%,1004304
92,"HSDT",-5.38%,-3.35%,-2.04%,-16.06%,-41.38%,-60.44%,8.09%,7.79%,,159.01,1.23,0.38,0.13%,196033
93,"REED",-6.62%,-17.39%,-37.43%,-40.54%,-29.35%,-34.01%,6.75%,8.17%,2.00,616.17,1.29,0.60,0.10%,793617
94,"AIRI",-5.69%,-4.13%,9.43%,-0.85%,-30.54%,-49.57%,4.42%,8.38%,2.00,468.55,0.18,1.16,0.00%,86041
95,"NBRV",1.64%,-44.66%,-56.30%,-68.61%,-85.58%,-81.21%,4.84%,7.98%,2.70,359.60,1.94,2.48,0.00%,697074
96,"AVCO",-2.50%,-1.68%,-7.14%,-29.52%,-38.42%,-39.38%,5.68%,5.15%,,361.11,0.42,1.17,0.00%,150693
97,"ENTX",-3.64%,-4.93%,-20.30%,-44.79%,-48.04%,-50.47%,4.88%,9.56%,2.00,352.51,1.00,1.06,0.00%,351432
98,"SVRA",12.40%,28.30%,9.68%,-49.06%,-8.11%,-69.64%,10.34%,9.81%,2.00,247.29,1.82,1.36,0.00%,449845
99,"SYNC",-0.68%,3.52%,8.09%,28.95%,-5.77%,-3.29%,5.03%,5.77%,2.30,87.60,1.11,1.47,0.00%,97448
100,"DWSN",0.00%,15.38%,22.81%,41.89%,-12.50%,-12.50%,6.38%,6.31%,,76.72,0.78,2.10,0.00%,59975
101,"STKS",5.96%,1.91%,56.10%,74.86%,-3.32%,-12.09%,7.35%,7.05%,2.30,89.84,1.94,3.20,0.00%,174344
102,"PZG",-1.79%,2.80%,-2.65%,0.92%,48.69%,42.23%,4.87%,5.16%,1.50,124.28,0.39,1.10,0.00%,48859
103,"DGLY",2.69%,10.79%,41.27%,-33.25%,138.39%,161.76%,8.12%,9.01%,,4178.56,0.42,2.67,0.00%,1765511
104,"TAT",-1.48%,17.25%,-0.20%,-20.65%,-44.10%,-49.62%,5.83%,9.95%,3.00,2440.75,0.41,0.25,0.00%,0
105,"UONEK",-10.61%,7.27%,36.80%,-59.31%,-37.89%,-37.89%,6.23%,7.76%,,1862.24,0.15,1.18,0.00%,280374
106,"MOTS",-18.48%,20.51%,-4.89%,-33.10%,-58.72%,-57.64%,11.12%,8.84%,1.50,212.16,1.74,0.97,-0.01%,369468
107,"AACG",3.45%,3.47%,13.23%,5.28%,-24.31%,-11.81%,3.63%,4.61%,,79.86,0.15,1.20,-0.02%,12050
108,"BXRX",-13.72%,-11.36%,-69.81%,-74.21%,-82.59%,-85.91%,5.64%,7.08%,1.70,1744.44,1.09,0.97,-0.10%,1899017
109,"AEZS",-1.82%,16.04%,4.22%,-58.94%,-53.37%,-58.49%,6.83%,9.94%,,1988.74,0.47,0.38,-0.24%,932350
110,"CHEK",-6.18%,4.21%,-9.89%,-49.24%,-81.19%,-81.45%,6.00%,9.77%,2.00,1483.94,0.91,0.32,-0.25%,1354668
111,"HALL",-1.78%,-5.97%,12.97%,0.30%,-81.77%,-81.16%,3.78%,5.05%,2.50,188.43,0.66,3.30,-0.30%,124432
112,"EXN",25.21%,6.55%,-13.57%,9.53%,-12.90%,-27.30%,9.14%,8.29%,,50.04,0.77,2.92,-0.34%,38404
113,"DYNT",1.33%,39.03%,12.66%,-13.53%,1.90%,-1.18%,4.31%,7.57%,1.70,208.60,0.68,0.82,-0.34%,142369
114,"MBRX",-2.47%,2.58%,-2.47%,-20.55%,-24.04%,-13.67%,5.61%,7.62%,1.70,1438.78,0.49,0.79,-0.41%,704935
115,"SONN",-9.58%,-2.07%,-11.94%,-37.23%,-84.01%,-84.62%,6.36%,7.67%,2.00,711.56,1.20,2.35,-0.42%,854128
116,"HBP",-3.31%,-5.65%,56.70%,192.50%,107.69%,127.92%,2.06%,3.61%,,443.01,0.09,3.49,-0.57%,40717
117,"ENG",-6.59%,78.97%,108.67%,63.46%,75.26%,73.47%,7.74%,22.68%,,2404.52,0.29,1.69,-0.59%,692123
118,"CSCW",-2.12%,-2.02%,8.96%,-26.92%,-74.99%,-64.25%,5.93%,8.85%,,2756.38,0.43,0.51,-0.64%,1191036
119,"DFFN",-6.51%,6.43%,-16.39%,-31.50%,79.69%,50.16%,6.79%,8.35%,,1020.58,0.53,0.69,-0.68%,537476
120,"LAIX",-4.05%,-8.39%,-26.80%,-45.28%,-65.45%,-70.78%,3.53%,7.58%,4.00,121.99,0.40,1.41,-0.70%,48612
121,"RETO",5.47%,15.78%,25.00%,-45.56%,-25.00%,-23.11%,6.20%,9.93%,,882.04,0.24,0.67,-0.71%,211015
122,"DARE",13.82%,13.82%,35.92%,38.61%,60.92%,70.73%,9.59%,9.82%,2.00,938.07,1.53,1.39,-0.71%,1437972
123,"CTHR",-0.76%,12.07%,56.61%,83.10%,-6.47%,-8.45%,3.72%,5.12%,2.00,211.79,0.58,1.29,-0.77%,122644
124,"NWHM",-3.20%,-11.52%,8.28%,41.11%,3.42%,3.86%,4.80%,5.02%,3.00,63.70,1.87,4.80,-0.83%,119224
125,"TOPS",-8.75%,8.11%,5.26%,-67.57%,-94.92%,-94.00%,5.67%,10.86%,3.00,3028.23,0.65,1.19,-0.83%,1981392
126,"NNA",-7.74%,-20.49%,-23.52%,-21.46%,-59.80%,-62.12%,5.81%,5.93%,3.00,169.17,0.79,3.19,-0.93%,133874
127,"TENX",-7.14%,0.00%,-41.90%,-0.95%,-11.86%,-26.24%,5.89%,9.44%,,200.73,0.66,1.03,-0.96%,133147
128,"JOB",-0.97%,6.21%,-0.97%,88.26%,158.69%,161.54%,3.35%,5.61%,2.00,478.23,0.42,1.01,-0.98%,199944
129,"RMTI",-9.82%,3.47%,-28.37%,-50.25%,-55.31%,-58.61%,6.65%,7.02%,2.00,1904.26,0.57,1.00,-0.99%,1093521
130,"REPH",1.52%,56.25%,27.66%,-38.02%,-83.33%,-83.63%,17.04%,12.19%,1.00,826.81,0.93,2.97,-1.00%,771137
131,"LMFA",-3.01%,3.78%,10.79%,-65.87%,-21.06%,-18.54%,8.86%,10.24%,,2728.33,0.21,0.63,-1.01%,565819
132,"EVOK",-0.34%,-10.80%,-38.38%,-23.95%,84.08%,78.40%,10.24%,7.31%,2.00,238.11,0.57,2.86,-1.04%,135619
133,"NBY",-7.10%,12.14%,-15.01%,-33.24%,8.63%,0.16%,6.46%,7.46%,1.50,1372.43,0.77,0.63,-1.05%,1053905
134,"ZCMD",4.62%,2.26%,4.02%,-18.47%,,-54.75%,12.58%,6.70%,,316.94,0.68,1.79,-1.10%,214018
135,"OPGN",-8.02%,-12.69%,-20.00%,-15.27%,22.86%,52.21%,4.25%,5.18%,2.00,764.01,1.15,1.70,-1.16%,882107
136,"IRIX",-11.35%,-3.53%,-16.33%,-24.42%,-32.37%,-26.46%,6.22%,5.66%,,67.17,2.94,1.62,-1.22%,197415
137,"GSUM",-2.98%,-3.55%,48.18%,98.76%,4.49%,33.61%,2.32%,2.47%,,390.89,0.33,1.61,-1.23%,128460
138,"EGY",-0.62%,18.52%,58.42%,33.33%,-20.40%,-27.93%,5.11%,8.80%,1.00,672.61,0.46,1.58,-1.25%,307317
139,"AEHR",7.32%,37.50%,45.70%,11.11%,15.79%,10.00%,3.11%,7.72%,,336.15,0.29,2.17,-1.36%,96582
140,"PFIE",-4.31%,6.40%,25.75%,-1.40%,-41.11%,-39.48%,6.46%,6.21%,2.70,109.92,0.65,0.87,-1.37%,71939
141,"RNWK",-7.74%,5.15%,18.18%,5.15%,15.79%,19.17%,4.88%,6.44%,,399.76,0.20,1.41,-1.40%,78974
142,"CWBR",11.02%,31.78%,35.58%,-38.70%,-17.54%,-11.88%,9.17%,7.85%,2.00,500.57,0.94,1.39,-1.42%,472669
143,"LXU",-2.77%,33.18%,44.10%,142.24%,-39.83%,-33.10%,8.67%,9.08%,,197.22,0.56,2.77,-1.42%,109647
144,"ANIX",-6.69%,28.57%,13.41%,18.72%,-2.79%,-14.94%,14.14%,15.56%,2.00,501.54,3.01,2.75,-1.43%,1507642
145,"UTSI",-22.09%,41.80%,19.64%,-22.99%,-54.58%,-54.58%,11.50%,13.05%,,797.24,0.35,1.32,-1.49%,276496
146,"ITP",3.09%,16.85%,43.37%,29.22%,-27.24%,-28.01%,6.96%,9.31%,,2234.31,0.21,0.67,-1.57%,467129
147,"SND",-11.57%,12.35%,51.59%,63.25%,-22.36%,-24.21%,7.11%,8.19%,3.00,338.66,0.57,1.88,-1.57%,193024
148,"SLRX",-8.70%,21.74%,0.57%,-40.00%,-78.90%,-77.78%,7.04%,14.81%,1.50,569.07,0.62,0.83,-1.62%,355250
149,"CPHI",-4.04%,3.85%,15.35%,-31.13%,80.00%,82.43%,7.13%,11.73%,2.00,568.69,0.35,0.43,-1.62%,200361
150,"BHTG",-5.47%,-11.68%,-5.47%,-18.79%,-24.37%,-28.82%,5.14%,7.11%,2.00,413.08,0.88,1.19,-1.65%,362464
151,"BOXL",4.12%,18.79%,25.53%,119.06%,52.59%,59.46%,8.15%,7.94%,1.70,4206.39,0.45,1.74,-1.69%,1908598
152,"AGE",-1.78%,10.67%,80.85%,103.26%,22.06%,-8.79%,5.11%,7.34%,,5726.69,0.02,1.63,-1.81%,125981
153,"CVU",11.85%,36.75%,49.42%,14.84%,-42.88%,-42.50%,5.78%,5.79%,3.00,80.34,0.93,3.80,-1.81%,74558
154,"ATIF",1.38%,0.07%,-33.29%,-64.85%,-66.80%,-63.05%,5.91%,6.13%,,1047.00,0.21,0.71,-1.87%,221407
155,"CPSS",5.72%,10.10%,27.25%,48.08%,28.01%,26.11%,5.94%,4.09%,2.00,145.46,0.18,4.17,-1.88%,26381
156,"CJJD",3.92%,4.95%,11.89%,-36.90%,-39.77%,-41.76%,4.15%,5.25%,,629.31,0.51,1.04,-1.89%,322558
157,"ASLN",8.81%,25.75%,40.45%,10.53%,-6.25%,3.45%,7.51%,8.58%,2.30,419.01,0.76,2.06,-1.90%,318118
158,"FEDU",-2.91%,17.65%,23.76%,-13.04%,-47.37%,-37.50%,6.28%,7.40%,3.00,197.96,0.34,0.98,-1.91%,66614
159,"SALM",-5.45%,4.00%,11.40%,-24.64%,-28.28%,-27.78%,4.88%,6.04%,1.50,919.82,0.23,1.02,-1.92%,207433
160,"CDTX",0.99%,-19.05%,-33.55%,-48.09%,-14.64%,-46.87%,6.89%,7.73%,1.70,274.42,2.15,2.00,-1.96%,589707
161,"AFI",2.99%,10.93%,-14.60%,11.29%,-18.63%,-19.20%,5.39%,6.62%,3.00,376.01,0.41,3.38,-2.03%,155984
162,"GNLN",6.60%,51.92%,105.66%,15.04%,58.55%,33.95%,11.53%,11.54%,1.60,336.95,0.73,4.27,-2.06%,244971
163,"RWLK",7.41%,22.88%,19.83%,-4.61%,-37.23%,-32.87%,7.74%,10.03%,2.00,1218.67,0.32,1.42,-2.07%,387762
164,"SNSS",4.47%,55.19%,33.57%,-69.91%,-33.29%,-44.63%,4.99%,7.88%,3.00,953.77,0.33,1.83,-2.14%,315757
165,"CANF",-5.08%,7.47%,2.19%,5.06%,-33.45%,-43.33%,6.05%,6.52%,2.00,451.43,0.39,1.83,-2.14%,177691
166,"SYBX",-0.89%,7.77%,2.78%,2.78%,0.45%,-13.95%,10.67%,11.67%,1.60,1090.94,0.52,2.17,-2.25%,568981
167,"MOHO",-3.07%,58.42%,51.37%,-19.64%,-74.60%,-61.86%,5.19%,17.34%,3.00,701.24,0.03,2.16,-2.26%,19123
168,"HUGE",1.73%,28.47%,-33.08%,-60.27%,-67.18%,-67.58%,10.64%,10.98%,,816.24,0.64,1.72,-2.27%,523525
169,"USWS",1.27%,33.60%,61.46%,-18.42%,-64.39%,-75.13%,9.37%,11.31%,3.00,1946.89,0.38,0.46,-2.30%,734692
170,"ALNA",-0.76%,-5.11%,-2.99%,-24.42%,-44.21%,-52.38%,5.19%,6.78%,1.70,1331.97,0.91,1.27,-2.31%,1217972
171,"RAIL",-16.07%,62.03%,8.94%,54.22%,23.67%,23.67%,9.80%,13.42%,3.00,976.91,0.20,2.50,-2.34%,199650
172,"ECOR",-6.70%,6.37%,0.00%,91.16%,29.46%,5.03%,6.70%,6.57%,2.00,507.75,1.83,1.63,-2.40%,928462
173,"AIKI",-4.29%,15.93%,6.90%,-23.22%,-45.49%,-52.51%,13.47%,11.49%,,1712.23,0.75,0.61,-2.40%,1287419
174,"IMBI",-22.64%,-33.12%,-33.66%,17.14%,4.63%,2.76%,9.62%,7.80%,2.00,60.80,3.80,4.00,-2.44%,230957
175,"GROW",20.70%,56.63%,85.44%,112.28%,275.19%,236.11%,7.03%,7.40%,,98.57,2.02,4.72,-2.48%,199167
176,"LPTH",15.79%,21.80%,43.67%,15.79%,461.49%,385.52%,8.81%,7.81%,2.00,294.63,0.59,3.43,-2.56%,172788
177,"VOC",11.67%,34.00%,88.73%,5.85%,-42.49%,-42.12%,8.48%,6.35%,,249.83,0.43,2.61,-2.61%,107852
178,"CLBS",-9.76%,1.37%,-19.13%,-18.23%,-32.86%,-41.04%,8.65%,7.57%,2.30,190.99,0.79,1.44,-2.70%,149936
179,"CXDC",5.81%,-8.40%,-6.03%,-6.03%,-41.71%,-39.11%,2.55%,2.53%,,88.69,0.46,1.06,-2.75%,40902
180,"ICON",-6.03%,39.74%,45.33%,-3.54%,0.93%,-19.26%,8.33%,11.49%,2.00,1355.72,0.11,1.06,-2.75%,149782
181,"SXTC",-3.99%,8.24%,29.98%,-40.93%,-55.16%,-63.30%,4.04%,9.23%,,2605.69,0.76,0.29,-2.76%,1984758
182,"BRQS",1.89%,6.93%,4.85%,-32.08%,-70.17%,-40.00%,6.58%,9.61%,,2109.87,0.64,1.05,-2.78%,1352696
183,"ARC",2.14%,4.38%,46.59%,33.64%,7.52%,2.88%,4.29%,6.66%,,267.43,0.56,1.39,-2.80%,150113
184,"PRPO",-7.46%,-0.94%,-7.46%,51.80%,-0.94%,2.93%,6.26%,8.61%,2.00,781.68,0.66,2.05,-2.84%,514028
