"Symbol","Name","Exchange","Sector","Industry","SCTR","Universe","Close","Volume"
"TTNP","Titan Pharmaceuticals, Inc.","NASD","Health Care","Biotechnology",7.8,"sml",2.410,85220
"TTOO","T2 Biosystems, Inc.","NASD","Health Care","Medical Equipment",7.4,"sml",1.060,2724442
"TWST","Twist Bioscience Corp.","NASD","Health Care","Biotechnology",41.5,"mid",126.460,312374
"U","Unity Software Inc.","NYSE","Technology","Software",4.9,"lrg",105.180,3073174
"UWMC","UWM Holdings Corporation","NYSE","Financial","Mortgage Finance",13.0,"sml",8.190,3747156
"VCYT","Veracyte, Inc.","NASD","Health Care","Biotechnology",7.7,"mid",37.900,824152
"VLDR","Velodyne Lidar, Inc.","NASD","Consumer Discretionary","Auto Parts",0.2,"mid",9.600,2459906
"VSTA","Vasta Platform Ltd.","NASD","Technology","Software",4.3,"sml",7.680,160447
"VYNE","VYNE Therapeutics, Inc.","NASD","Health Care","Biotechnology",1.0,"sml",3.050,861365
"WEI","Weidai Ltd.","NYSE","Financial","Specialty Finance",,"",1.210,2150045
"WIMI","Wimi Hologram Cloud Inc","NASD","Communication Services","Media Agencies",7.7,"sml",4.700,1067842
"WINT","Windtree Therapeutics, Inc.","NASD","Health Care","Pharmaceuticals",,"",2.010,469674
"WKHS","Workhorse Group Inc.","NASD","Consumer Discretionary","Automobiles",0.8,"mid",12.900,13274955
"WWR","Westwater Resources, Inc.","NYSE","Materials","Nonferrous Metals",19.2,"sml",4.320,990695
"XPEV","XPeng, Inc.","NYSE","Consumer Discretionary","Automobiles",24.2,"lrg",40.000,19139471
"YINN","Direxion Daily FTSE China Bull 3x Shares","AMEX","","",,"",14.720,4119102
"ZEV","Lightning eMotors, Inc.","NYSE","Industrial","Industrial Machinery",4.4,"sml",7.300,436972
"ZM","Zoom Video Communications, Inc.","NASD","Technology","Computer Services",73.3,"lrg",386.010,2748844
